app_name,locations_total,db_size_bytes
mongo_app,1000,129495.0
mongo_app,10000,1294545.0
mongo_app,100000,12994545.0
mongo_app,1000000,129945045.0
mongo_app,10000000,1308945045.0
single_table_app,1000,1504670179
single_table_app,10000,1504670179
single_table_app,100000,1504670179
single_table_app,1000000,1504727523
single_table_app,10000000,1505268195
point_field_app,1000,1245352419
point_field_app,10000,1245352419
point_field_app,100000,1245360611
point_field_app,1000000,810709475
point_field_app,10000000,1579782627
dynamic_table_app,1000,43938275
dynamic_table_app,10000,48837091
dynamic_table_app,100000,64455183
dynamic_table_app,1000000,253723151
dynamic_table_app,10000000,1538654735
